Date,BCB_start,BCB_stop,Dry Slope (D),Dry Intercept (N0),Dry Mass (µg/m³)
2021-11-30,61433,61632,0.45709080770376326,2.0396209901083333,0.22383019363402112
2021-11-30,61915,62113,0.6319263244624125,1.127251976819594,0.7582562921177922
2021-11-30,63506,63696,0.932448796308577,2.070045446987428,8.977896736441142
2021-11-30,63987,64179,0.7499057742365189,3.6570009607989147,5.765955865619144
2021-11-30,65473,65648,0.9415900421425393,1.7523084144916636,7.940308033870823
2021-11-30,65950,66108,0.9101783761570398,0.8188338617540748,3.184350102562035
2021-11-30,67500,67682,0.7291976563773804,0.7362145568649326,1.0137465364951856
2021-11-30,67930,68124,0.49208559554781073,1.033964523485106,0.17641137580201147
2021-12-01,58815,59011,0.6641479727680075,6.329727058157714,5.487355886682134
2021-12-01,59320,59510,0.6127426900519981,4.920045189922253,2.8199980357051246
2021-12-01,61120,61346,0.7789233540858815,3.7064259069763925,7.006601961302672
2021-12-01,61643,61831,0.915632017220356,1.8971875912426444,7.580013965933505
2021-12-01,63405,63599,0.7113224194970561,5.354156515736669,6.5307529087130405
2021-12-07,61756,61915,0.5711209150760148,3.1632785078841534,1.2472978132131871
2021-12-07,62204,62404,0.6389216999871432,3.99937672055181,2.846946450916603
2021-12-07,64016,64220,0.4979831510327946,3.8097535262347155,0.6968046417487925
2021-12-07,64509,64704,0.3703988543315776,5.898613030211685,0.1637090848804445
2021-12-07,66386,66585,1.1666641626830248,8.413882570609216,97.46321900157209
2021-12-07,66827,67022,0.8717600727642739,5.659523246873198,18.084822944305856
2021-12-07,68246,68337,0.6072408526687627,4.78090448726975,2.6137507959113213
2021-12-07,68337,68520,0.6158657879327045,4.6613130975766595,2.743592879607065
2021-12-07,68805,69024,0.5484411729600435,5.489537668722194,1.7346286734460985
2021-12-07,70472,70669,0.6311386289989045,3.02271016084802,2.020215771831554
2021-12-07,70965,71163,0.622942632874357,7.722980456054788,4.824072209173769
2021-12-09,47647,47844,0.5711422105206373,6.594949355947421,2.600948668165435
2021-12-09,48148,48350,0.6875587174567752,4.828137663312133,4.978940998265129
2021-12-09,49726,49899,0.7273130472950201,4.8823142255644925,6.638712415950802
2021-12-09,50219,50401,0.9011224331356315,4.416321678527577,16.413493967944078
2021-12-09,52061,52239,0.813145968087667,3.1677652450707603,7.333796780683033
2021-12-09,52550,52735,0.7774594588655093,3.715705777807649,6.961667007043318
2021-12-09,54157,54337,0.6934747663845426,4.123832938479699,4.437483382750002
2021-12-09,54621,54849,0.742847296711989,2.8764252495335514,4.33313297033258
2021-12-09,63877,64061,0.4768971369121726,2.194003555587429,0.3110384514175468
2021-12-09,64655,64846,0.7876067904786558,1.4561100424026148,2.9011028193203727
2021-12-09,66093,66304,0.8954602785376806,1.855270791589657,6.700564524620543
2021-12-09,66641,66856,0.8008736960142313,1.37951488522951,2.9738142528832707
2021-12-09,68440,68629,0.9938895911437402,1.6490712298411212,9.507934918271282
2021-12-09,68996,69222,0.7512285607372488,2.7778728098061216,4.417132633714667
2021-12-09,70610,70832,0.7651115466977055,3.946256073141015,6.8506461214261405
2021-12-09,71228,71440,0.7417585342367724,3.7606097872480335,5.625104773209035
2021-12-09,72726,72879,0.4701923199181013,9.19544516432018,1.1976802775748825
2021-12-10,65243,65428,0.6568990342749768,7.936494114422916,6.508411364381914
2021-12-10,65862,66057,0.7167755703754184,5.697271954344224,7.21429735833919
2021-12-10,67631,67812,0.5436489802838451,9.16671658223582,2.7592656459890987
2021-12-10,68275,68535,0.7796985690775962,2.6667592379101195,5.065085118184596
2021-12-10,70106,70301,0.7512341747288412,3.6320297388430953,5.77554651897836
2021-12-10,71925,72246,0.621706419604534,8.498032123578131,5.25373556361154
2021-12-10,72642,72853,0.691447949394397,6.106995162702687,6.476757192516461
