Date,BCB_start,BCB_stop,Dry Slope (D),Dry Intercept (N0),Dry Mass (µg/m³)
2020-02-14,66891,67089,2.1628737246038408,0.2588407931026818,38.84829835731896
2020-02-14,67440,67910,2.4719705602292983,0.10652826948192154,27.225139430794528
2020-02-14,69510,69718,2.2706845527971016,0.26881669031860084,48.79897240210724
2020-02-14,70028,70258,2.6527823261147168,0.07564364077917636,25.66348939839251
2020-02-15,61627,61844,1.372690332543926,0.3400936757025664,7.8410623534805755
2020-02-15,62106,62316,1.9007304033433223,0.16489639977991072,14.549979855783628
2020-02-15,63718,63918,1.9316696297493454,0.16615347410828885,15.657971692488491
2020-02-15,64219,64417,2.16014022878906,0.21544122962457396,32.1672125734279
2020-02-15,65852,66258,2.4686311845870708,0.13521470495499974,34.36922268762397
2020-02-15,66607,66817,3.017000273586882,0.04857336786731999,27.590129083058766
2020-02-15,69249,69437,1.983346893116829,0.17226068084110802,18.07501084126113
2020-02-17,63568,63769,2.3195049502068534,0.04655282337016861,9.208049235076365
2020-02-21,68066,68308,2.2299338777226603,0.2875115048484635,48.512040170799175
2020-02-21,68607,68848,2.6229587538179358,0.16920466776895612,54.8618448914284
2020-02-21,71203,71820,3.0113792424491415,0.061695216790848745,34.78255853272299
2020-02-21,75237,75424,2.6889099827537453,0.15987439706064138,57.26198938204052
2020-02-21,75663,75849,2.3106001537836898,0.3870095792043723,75.37161956662366
2020-02-22,52034,52250,2.5600650141417227,0.049028730469229495,14.422064882726039
2020-02-22,52600,52797,3.2674662070099396,0.02912062674653801,22.779800404677605
2020-02-22,54333,54568,3.358698824201281,0.016245505455405183,14.197157130003037
2020-02-22,54868,55077,3.4268617655725966,0.01468440607666683,13.914906682411383
2020-02-22,56768,57018,2.296829701724169,0.04898528982454219,9.312836385564518
2020-02-23,71216,71473,1.1354427258915394,1.0427988364081404,10.750547010190642
2020-02-23,72354,72544,2.8170960162731173,0.09996077731759291,43.145132379505135
2020-02-28,73026,73238,1.7495360575301016,0.3345870102804962,21.040050527603494
2020-02-28,73579,73767,0.6565933119642032,46.821253558359416,38.30578399677623
2020-02-28,75172,75354,2.217341583904942,0.010732024011467101,1.769855368261322
2020-02-28,76496,76731,0.7450325113852013,8.056305938355733,12.309522651025155
2020-03-01,53602,54105,2.8848039663581027,0.018346917767376274,8.709053132140427
2020-03-01,57081,57306,2.352433169940037,0.04901812456583185,10.262433961080626
2020-03-01,57614,57814,2.449169825845106,0.03677971451770405,9.056009308365988
2020-03-08,52351,52549,1.355405622584488,0.9590424524812885,20.968264731143467
2020-03-08,52904,53129,1.608777524243454,0.1845004153257061,8.219923784552261
2020-03-08,54564,54765,2.0030109596924484,0.5520806011785506,60.29977998036776
2020-03-08,57027,57238,2.764641835731519,0.03622734064193294,14.502663666461158
2020-03-08,57588,57797,2.723763488513967,0.08221972037247376,31.00794044411981
2020-03-12,72582,72751,1.0221132926307521,3.1385052955511856,20.47571470974797
2020-03-12,74149,74344,2.688933009978793,0.08985715625388449,32.185116531757046
2020-03-12,74755,74960,1.2434070654692873,0.7031116149860794,10.68637578786325
2020-03-12,75881,76201,5.396035272524796,0.007261466316771567,43.107803700389724
2020-03-12,76479,76675,2.296693094443573,0.11256981205730789,21.39607131658003
2020-08-13,53024,53310,2.5740134230524454,0.16440135127722597,49.42551800402217
2020-08-13,56680,56986,1.1743258741829,1.8304953765346579,21.80673094060109
2020-08-13,58343,58569,2.602822509625254,0.029493044424616,9.271624555931341
2020-08-13,60516,60704,6.009702476320985,0.0021691879403686384,19.624997870319923
2020-08-13,60971,61176,1.1020032777280788,0.2114625317351807,1.9170328148070455
2020-08-20,61320,61585,0.47965897057756735,389.8007939644449,57.19334374541233
2020-08-21,52391,52596,1.1761972327357788,0.1587629591744887,1.9042823225193564
2020-08-25,53075,53264,2.2975316365776495,0.05495786607023039,10.46119844562127
2020-08-25,54472,54695,0.8253372616447994,0.37068007295304134,0.9199252573532861
2020-08-25,55014,55205,1.0683512583917827,0.9148253204957372,7.244103721741056
2020-08-25,57713,57913,1.6299844365508482,0.04405748393059799,2.071654760540849
2020-08-25,58607,58816,1.7617792252802926,0.054299402182133694,3.51348684582916
2020-08-25,59092,59287,5.286605129812055,0.00836881187364181,45.804969916627684
2020-09-02,58496,58709,1.3365298967347954,0.34370058925226,7.085179512913358
2020-09-02,60566,60762,1.2809659049623772,1.6412274425345306,28.293009174905283
2020-09-02,61535,61758,2.6389412752655983,0.007001879985109253,2.326218676848174
2020-09-11,55002,55235,0.9757339267238208,0.25481711681712016,1.3537814964082306
2020-09-11,58464,58711,1.6149171844137236,0.3077152425876883,13.92630673328881
2020-09-11,59068,59260,0.890202132703662,0.43371252339030025,1.524989401194804
2020-09-15,59159,59337,2.551193907490738,0.07026512598685411,20.382924425859443
2020-09-15,59697,59900,3.307556308552979,0.01935190337330954,15.899069181237232
2020-09-15,61783,61996,7.5852754990580165,0.0026143957915245623,57.45342114422593
2020-09-16,58600,58914,2.237332893879774,0.17448219490993994,29.837149490930617
2020-09-21,60361,60560,1.4981850190059411,0.08624660945597044,2.8626288774793576
2020-09-21,64032,64237,4.04885925988549,0.0035164677409706665,6.5499640727450235
2020-09-21,64503,64707,2.5377560528534273,0.0339996224250329,9.655935629848692
2020-09-21,66149,66344,6.247915541262316,0.0013798074106007984,14.499500250447737
2020-09-21,66596,66786,3.2484987507081136,0.020895544913782618,15.967603265017974
2020-09-21,68140,68341,5.561891488940448,0.004850105837568305,32.4447249006687
2020-09-21,68677,68888,5.368989591484057,0.0025083674665840605,14.597655741148104
2020-09-22,66723,66918,9.76777666133426,0.0014732152030221143,88.5798221542823
2020-09-30,59430,59586,1.712402122029376,0.7488176050799297,43.12354115776967
2020-09-30,59831,60022,2.365313816368245,0.3594403431556152,76.92594159142142
2020-09-30,61287,61485,1.5206114515437394,0.37767273340214585,13.331416132279328
2020-09-30,61766,61965,2.276836005461681,0.18073218376229766,33.16896704977516
2020-09-30,63564,63807,1.3206016845803947,0.9404159351932507,18.433510579733362
2020-09-30,64110,64310,1.9601552948905412,0.8146957857192889,81.49029953989981
2020-09-30,66312,66567,1.954017007413471,0.2433801774071645,24.035416321324355
