File name,Mean concentration ≥2 µm (cm^-3),Std dev in ≥2 µm bins (cm^-3),"Total concentration (all bins, cm^-3)"
0.pickle,0.031821545762711866,0.0031497525559977,84.09884956271188
1.pickle,2.89359236440678,0.08704041584682225,86.99346695084745
2.pickle,1.5154754389830507,0.04594505832306987,85.57754442203391
3.pickle,0.44260704576271176,0.014362820576185011,84.48857027288136
4.pickle,0.3009628813559323,0.010064668765339293,84.38564464915254
5.pickle,0.5547485305084745,0.017276917169504358,84.61377390338984
6.pickle,7.387501147457627,0.22173635099740657,91.45283161016948
7.pickle,0.12650673389830489,0.0058566842205822365,84.19567895762711
8.pickle,0.7134778288135591,0.021760404315513585,84.79248484406781
9.pickle,0.31498869152542375,0.010558236323490133,84.4251336101695
10.pickle,0.34941092372881355,0.011204890360256306,84.44822425084746
11.pickle,0.29894642033898283,0.009977753103039682,84.37545836271187
12.pickle,0.12721813389830483,0.005889642547932872,84.23543880169491
13.pickle,0.07843450169491525,0.004754203612261667,84.14469143559322
14.pickle,0.07906364915254249,0.004792444484404592,84.1286437
15.pickle,0.07877291355932205,0.004774679117407365,84.17862631016949
16.pickle,0.09457527118644087,0.005174918420798947,84.15647132881355
17.pickle,0.06313560169491518,0.0043256443317729945,84.13749075593222
18.pickle,0.25252371525423734,0.008704270291546216,84.3392288016949
19.pickle,1.179215952542373,0.03574524139671974,85.25726379322033
20.pickle,0.0939765169491526,0.00514177873289322,84.1484815237288
21.pickle,0.12630252203389822,0.00584692555915397,84.19901190847457
22.pickle,0.07826024406779666,0.004743450611988995,84.16320181016948
23.pickle,0.06317376101694908,0.0043283485605700445,84.12126529830508
24.pickle,0.29954272881355914,0.0100368120116839,84.36658269322034
25.pickle,0.20538005593220351,0.007684345064763088,84.26406858644066
26.pickle,1.0945730152542374,0.032998845856738145,85.18533108305085
27.pickle,0.8246342237288137,0.024989642880560804,84.91730732542374
28.pickle,0.8243506152542373,0.025440452054904115,84.8877078542373
29.pickle,0.7470726220338983,0.02303294447624739,84.83197762033899
30.pickle,0.5368352728813559,0.016973794021591146,84.59530663898303
31.pickle,0.8593491322033899,0.026465124960492154,84.90262786101695
32.pickle,1.161058333898305,0.035228288494407956,85.26133769830508
33.pickle,0.6970845711864406,0.021867186493145823,84.77467104915254
34.pickle,1.0495209016949154,0.03201194446893074,85.10324104237289
35.pickle,0.7290990983050848,0.022351986820946204,84.82257549830508
36.pickle,0.7446261898305084,0.02294162639892218,84.81830014067796
37.pickle,0.03170386949152547,0.003138030387081257,84.103797720339
38.pickle,0.4917064271186442,0.015301631577883654,84.56097975932204
39.pickle,0.7770275813559322,0.023919329671666538,84.82947632881357
40.pickle,0.6841280559322034,0.02135133810994687,84.75337804576272
41.pickle,0.648940545762712,0.019862168208603186,84.71781912711864
42.pickle,0.5694076813559321,0.017781638599609222,84.64465368644068
43.pickle,0.2521396881355933,0.00869062420289686,84.3255973898305
44.pickle,0.42891111864406795,0.013720374306700525,84.4934990338983
45.pickle,0.4277982084745764,0.013649323141528714,84.4935863355932
46.pickle,0.4285793355932205,0.013695191454540708,84.47952081694916
47.pickle,0.6032767440677966,0.018593034230915986,84.66352342881356
48.pickle,0.4569051966101695,0.014641066339165865,84.52490067288136
49.pickle,0.8263669745762713,0.02505240649981404,84.88285181864407
50.pickle,0.5068617559322033,0.016249794843205892,84.57815901355931
51.pickle,0.4731294406779662,0.015310754134853152,84.52475068983051
52.pickle,0.09395332203389849,0.005140464944093397,84.1525258559322
53.pickle,0.27062581355932197,0.009445024182752863,84.3336524322034
54.pickle,0.14180063898305084,0.00611505333915336,84.20348883559323
55.pickle,0.19004471016949154,0.006833246638385888,84.28210418305085
56.pickle,0.5374696372881355,0.017027184196116277,84.61548753728813
57.pickle,0.1736630627118645,0.006607041494124128,84.23685604915255
58.pickle,0.032000262711864305,0.003167291331360114,84.08278197288135
59.pickle,0.1271498898305084,0.005886161900789434,84.17501322033897
60.pickle,0.33249644745762696,0.010632560265181746,84.39153561525424
61.pickle,0.1426373186440678,0.006151419914550909,84.1938412338983
62.pickle,0.14166386949152543,0.00610915080237645,84.21735918305085
63.pickle,0.22171319152542376,0.007857895913421483,84.28307014576271
64.pickle,0.17370935423728812,0.006608996877180312,84.23511082542373
65.pickle,0.2531960101694915,0.008702951455639405,84.31401153559322
66.pickle,0.3963312728813559,0.012470310416849177,84.46859402372883
