Date,BCB_start,BCB_stop,Dry Slope (D),Dry Intercept (N0),Dry Mass (µg/m³)
2022-01-11,49898,50084,0.3985100854323185,4.7906514689253274,0.21913203950059587
2022-01-11,50437,50622,4.950576431580465,0.36794611907998004,1548.918481366747
2022-01-11,51974,52192,4.595225538057924,0.21351985926456674,665.355800989855
2022-01-11,54318,54506,1.2476067934059833,0.7350189000688978,11.332223406660619
2022-01-11,56646,56844,1.5370766061370347,0.301128697156795,11.114007291835934
2022-01-11,57239,57432,1.0805455781002196,1.3644072616356147,11.357750423946598
2022-01-11,59060,59259,4.23933779852908,1.1715232052949616,2630.9751755285947
2022-01-11,67976,68165,0.5433712636928143,4.084183999265617,1.225897297362647
2022-01-11,68456,68641,1.350352220134851,0.9835591546378082,21.170117730809444
2022-01-11,70181,70367,1.0880877064835959,0.7801303499686413,6.6932653598720275
2022-01-11,70779,70965,0.9079305625419957,1.490158669615243,5.730530659158762
2022-01-11,73166,73421,0.9879298664507835,0.9802281286830363,5.503020242367226
2022-01-12,50633,50810,0.8211374965264474,0.788510771016131,1.9108733181487603
2022-01-12,51172,51418,0.8005004305373772,0.53307333442762,1.1466266106443475
2022-01-12,52973,53159,0.8846673918030524,0.3470710161316308,1.1861407505591608
2022-01-12,53501,53653,0.7228273546162726,0.760626804131322,1.0035495960798053
2022-01-12,55206,55380,1.0452905430699035,0.24924076746844828,1.7942003704633942
2022-01-12,55717,55953,1.0196101574943328,0.18321847420380868,1.1824952456336244
2022-01-12,67111,67296,0.8771765652740796,1.1976384016042494,3.9370787562595586
2022-01-12,67587,67735,1.3363534252298408,1.6567223741916524,34.133395706594584
2022-01-12,69442,69666,0.850408496953028,0.4573599054955481,1.3039773769369187
2022-01-12,69980,70159,0.8312622034932329,0.713305437369556,1.8301380368526667
2022-01-12,71159,71432,0.8964580551700941,0.37941118437129895,1.3772506635191792
2022-01-12,71741,71932,0.7458961854084418,0.5161107205093027,0.7930024885094566
2022-01-12,73357,73530,0.9307611143318076,1.1719878499017717,5.041716119076674
