Date,Num_Legs,Mean_Windspeed,Std_Windspeed
2022-01-11,15,7.9683719793014705,1.3028373932417172
2022-01-12,13,3.99569319375745,2.3405589051185314
2022-01-15,11,6.094867011983191,0.523768884961562
2022-01-18,15,8.80529134591215,1.4658455030540993
2022-01-19,12,5.224955737351851,0.7315515652575965
2022-01-24,14,2.739798965215137,0.9921457166654674
2022-01-26,16,5.826249788464022,1.0762087657439134
2022-01-27,16,3.007603508274843,1.1314082926938542
2022-02-01,8,6.46992417262402,1.1318478405780852
2022-02-02,6,1.6270715109860234,0.523729572122898
2022-02-03,14,5.664976137085228,1.3393904886862125
2022-02-05,9,9.656132064552027,0.7031057061924884
2022-02-15,14,3.3850347434337835,0.7988871468948906
2022-02-16,15,4.815168934321054,1.757437499801283
2022-02-19,10,4.243771014123849,3.2767303833057535
2022-02-22,14,5.747021485304226,1.9510917383341104
2022-02-26,16,4.8723414352380265,1.2161405019682998
2022-03-03,2,4.026348365477858,0.25333082583456196
2022-03-04,15,4.712206056863869,2.601330429091125
2022-03-13,17,6.418553109965412,2.595940035056313
2022-03-14,12,2.379814130280115,0.7914885079663527
2022-03-18,7,2.893967947477466,1.1236672838975355
2022-03-22,8,7.584931767251446,1.4661567929023656
2022-03-26,16,8.63181511204025,1.4895615526339907
2022-03-28,7,6.235871418108234,1.9787787532641021
2022-03-29,20,7.039780223821291,1.4370185984660777
2022-05-05,4,4.026125855839263,1.3122296362527537
2022-05-10,6,12.926029627975836,2.206221642688815
2022-05-16,5,5.48419971647756,1.3267086983501457
2022-05-18,2,2.6082020202765985,0.1649791420000498
2022-05-20,2,6.717336571665172,2.079387514266633
2022-05-21,8,4.128573328712106,2.041823672673734
2022-05-31,8,3.8905522558087546,1.0306924965888937
2022-06-02,7,3.73092972135423,1.5848444394956156
2022-06-03,3,1.7862878730312417,0.04503706643187072
2022-06-05,2,2.035866098782738,0.45487851790829714
2022-06-07,11,4.86564165844344,1.5394137391988487
2022-06-08,7,4.309383326611657,1.1387192949692468
2022-06-10,9,3.5057708335070252,0.9690478777782058
2022-06-11,6,5.020149422045123,1.8764881322040328
2022-06-13,3,2.751330684360479,0.5864350371411798
2022-06-14,4,3.2984177370165804,1.325633273442337
2022-06-17,9,1.9376618166916586,0.6765888683609251
2022-06-18,4,9.253297974960445,3.373543092889986
