Bin Center (µm),Mean Relative Error,Median Relative Error,Min Relative Error,Max Relative Error
2.0,0.0363588201199628,0.030045302897691927,0.007836623139080557,0.2116548381747307
2.6764705882352944,0.05669876646130713,0.048685893188783025,0.011280344673361444,0.2416360609553062
3.3529411764705883,0.09503890703628814,0.07266784174129103,0.019699225699433418,2.455714503235612
4.029411764705882,0.176651546346962,0.12045937092848027,0.0318749223683176,7.047987936303012
4.705882352941177,0.19999660477649894,0.15721163345615435,0.03373023652205188,1.504436955056684
5.382352941176471,0.23803202421314018,0.18210657234285157,0.03172070442902616,1.736542141969193
6.0588235294117645,0.30689647760122474,0.2207263693465982,0.06616792359899545,3.695247803473531
6.735294117647059,0.41723418972225884,0.2912383551988772,0.08032874305634619,9.364509953732373
7.411764705882353,0.5433685839019257,0.44453682458827815,0.08455539579995867,4.015903997600697
8.088235294117649,0.707991689333349,0.5264089931170868,0.095865123896779,18.04055420655456
8.764705882352942,0.8296874756926501,0.6072622693422205,0.11293617390665624,11.29064948103875
9.441176470588236,0.9876996471030199,0.6804667323989791,0.1229309370373434,16.866275521620796
10.117647058823529,0.9416946059615238,0.7261013462875007,0.13497191582950382,12.855858666681621
10.794117647058824,1.1156207528923652,0.7791848150788998,0.14399631803582322,10.441087831191588
11.470588235294118,1.012367491842331,0.7908493827553328,0.1547668669042306,8.189993687442179
12.147058823529413,1.1173337134669445,0.8917745937466064,0.16870403107084792,18.972630683634506
12.823529411764707,1.1760647306519052,1.016159799621626,0.18724269402516192,8.076426980777276
13.5,1.353466864013682,1.1661969561252754,0.19783979758859116,7.600654305221955
14.176470588235295,1.5813761229106333,1.299645009274868,0.2081072036478523,12.005671853046861
14.852941176470589,1.8100010718841855,1.3132074250936439,0.22015930380686255,23.081153862630686
15.529411764705884,1.5599013665442132,1.106636962672651,0.2345813103602051,23.790803146620707
16.205882352941178,1.8277071961139586,1.1033685378362033,0.2517543238660248,21.946309266028557
16.88235294117647,1.7736400569232997,1.1699410319425494,0.272412800314222,10.894517204770302
17.558823529411768,1.8922138673776598,1.117294126127354,0.3009924912934503,12.73689226200323
18.235294117647058,1.7735704145739968,1.102236794655367,0.3098638652157568,26.11175302553403
18.911764705882355,1.277141754698132,0.9922534162314182,0.27420916058936745,12.719593037439159
19.58823529411765,1.289247911175968,1.1009021337810785,0.25222890352483257,4.761817449476354
20.264705882352942,1.4454763870083467,1.1479825102438483,0.28576157041201855,6.634125843488424
20.941176470588236,1.509388087304217,1.3011099429330981,0.3376101510380386,6.827027382819518
21.61764705882353,1.7219554538564088,1.196307061897151,0.30283061589167876,10.434716234099518
22.294117647058826,2.412393047671478,1.2353126440276476,0.49741234984956667,14.206526537629731
22.97058823529412,1.8088623829172297,1.2248966919615654,0.4741997931983979,6.091398452403384
23.647058823529413,1.5813362660295887,1.1759986559428652,0.46331439421634035,4.061143754496928
24.323529411764707,1.94637056632559,1.3412914061534187,0.513220728906773,6.688417442732919
25.0,1.6334239164437527,1.1436929950561825,0.5795536636710462,12.604304992132482
